番号	枝番	分類	Title	URL	予測ポイント	やる/やらない	ポイント	予定時間	実績時間	イテレーション	Status	Assignees
		(FE)	アイコン依頼・確認	https://github.com/ks-kentem/cloud-pm/issues/674			0.5	3.5			未対応	
		(FE)	マニュアル依頼・確認・適用	https://github.com/ks-kentem/cloud-pm/issues/675			1	7			未対応	
		(FE)	リリース情報	https://github.com/ks-kentem/cloud-pm/issues/676			0.5	3.5			未対応	
		(FE)	KentemDB	https://github.com/ks-kentem/cloud-pm/issues/677			0.5	3.5			未対応	
		(FE)	テストすり合わせ	https://github.com/ks-kentem/cloud-pm/issues/678			0.5	3.5			未対応	
		(BE)	評価版環境作成	https://github.com/ks-kentem/cloud-pm/issues/680			2	14			未対応	
		(BE)	リリース準備	https://github.com/ks-kentem/cloud-pm/issues/681			2	14			未対応	
		(FE)	FE 不具合 (実装 x 20%)	https://github.com/ks-kentem/cloud-pm/issues/1720			13	91			未対応	kentem-re-hiramatsu
		(BE)	BE 不具合 (実装 x 20%)	https://github.com/ks-kentem/cloud-pm/issues/1721			4	28			処理中	kentem-na-hasegawa
		(FE)	【マスター】安全指示事項のグリッドを実装	https://github.com/ks-kentem/cloud-pm/issues/486			0.5	3.5	5	5	プルリク中	kentem-to-okemoto
		(FE)	【マスター】編集コマンドの実装	https://github.com/ks-kentem/cloud-pm/issues/489			1	7	3.5	5	プルリク中	kentem-to-okemoto
		(FE)	【マスター】データ取得（API接続）	https://github.com/ks-kentem/cloud-pm/issues/490			0.5	3.5	0.5	5	プルリク中	kentem-to-okemoto
		(FE)	【マスター】データ保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/491			0.5	3.5	3.5	5	プルリク中	kentem-to-okemoto
		(FE)	【工事内容】安全指示事項のグリッドを実装	https://github.com/ks-kentem/cloud-pm/issues/492			0.5	3.5	2	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	【工事内容】キーワード検索	https://github.com/ks-kentem/cloud-pm/issues/1463			0.5	3.5	1	5	プルリク中	kentem-re-hiramatsu
		(FE)	【工事内容】編集コマンドの実装	https://github.com/ks-kentem/cloud-pm/issues/493			0.5	3.5	1	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	【工事内容】マスター取込みの実装	https://github.com/ks-kentem/cloud-pm/issues/494			1	7	1	5	プルリク中	kentem-re-hiramatsu
		(FE)	【工事内容】データ取得（API接続）	https://github.com/ks-kentem/cloud-pm/issues/495			0.5	3.5	1	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	【工事内容】データ保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/496			0.5	3.5	1	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	【日報】安全指示事項の列を追加（閲覧・編集）	https://github.com/ks-kentem/cloud-pm/issues/497			0.5	3.5	0.5	3	処理済み・Close	kentem-re-hiramatsu
		(FE)	【日報】追加ダイアログ作成	https://github.com/ks-kentem/cloud-pm/issues/502			0.5	3.5	2	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	【日報】データ取得（API接続）	https://github.com/ks-kentem/cloud-pm/issues/503			0.5	3.5	6	5	処理済み・Close	kentem-re-hiramatsu
		(FE)	【日報】データ保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/504			0.5	3.5	5	5	未対応	kentem-re-hiramatsu
		(FE)	【マスター】区分のグリッドを実装	https://github.com/ks-kentem/cloud-pm/issues/511			0.5	3.5	2.5	3	完了	kentem-to-okemoto
		(FE)	【マスター】区分の編集コマンドの実装	https://github.com/ks-kentem/cloud-pm/issues/513			0.5	3.5	4.5	3	完了	kentem-to-okemoto
		(FE)	【マスター】点検項目のグリッドを実装	https://github.com/ks-kentem/cloud-pm/issues/512			1	7	1	4	処理済み・Close	kentem-to-okemoto
		(FE)	【マスター】点検項目の編集コマンドの実装	https://github.com/ks-kentem/cloud-pm/issues/514			1	7	5	4	処理済み・Close	kentem-to-okemoto
		(FE)	【マスター】データ取得（API接続）	https://github.com/ks-kentem/cloud-pm/issues/515			0.5	3.5	1.5	4	処理済み・Close	kentem-to-okemoto
		(FE)	【マスター】データ保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/516			0.5	3.5	2.5	4	処理済み・Close	kentem-to-okemoto
		(FE)	【工事内容】区分のグリッドを実装	https://github.com/ks-kentem/cloud-pm/issues/517			0.5	3.5	2.5	4	処理済み・Close	kentem-to-okemoto
		(FE)	【工事内容】区分の編集コマンドの実装	https://github.com/ks-kentem/cloud-pm/issues/519			0.5	3.5	1	4	処理済み・Close	kentem-to-okemoto
		(FE)	【工事内容】区分のマスター取込みの実装	https://github.com/ks-kentem/cloud-pm/issues/521			1	7	4.5	5	処理済み・Close	kentem-to-okemoto
		(FE)	【工事内容】点検項目のグリッドを実装	https://github.com/ks-kentem/cloud-pm/issues/518			0.5	3.5	1	4	処理済み・Close	kentem-to-okemoto
		(FE)	【工事内容】点検項目編集コマンドの実装	https://github.com/ks-kentem/cloud-pm/issues/520			0.5	3.5	1.5	4	処理済み・Close	kentem-to-okemoto
		(FE)	【工事内容】点検項目のマスター取込みの実装	https://github.com/ks-kentem/cloud-pm/issues/522			1	7	5	5	処理済み・Close	kentem-to-okemoto
		(FE)	【工事内容】データ取得（API接続）	https://github.com/ks-kentem/cloud-pm/issues/523			0.5	3.5	0.5	4	処理済み・Close	kentem-to-okemoto
		(FE)	【工事内容】データ保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/524			0.5	3.5	3.5	5	処理済み・Close	kentem-to-okemoto
		(FE)	【日報】点検記録表のグリッドを実装	https://github.com/ks-kentem/cloud-pm/issues/525			2	14	3.5	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	【日報】一括チェックダイアログの実装	https://github.com/ks-kentem/cloud-pm/issues/526			0.5	3.5			破棄	
		(FE)	【日報】一括チェックの処理を実装	https://github.com/ks-kentem/cloud-pm/issues/527			1.5	10.5			破棄	
		(FE)	【日報】無効化時にグレーアウトする実装	https://github.com/ks-kentem/cloud-pm/issues/528			1	7	1	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	【日報】データの取得（API接続）	https://github.com/ks-kentem/cloud-pm/issues/529			0.5	3.5	3	5	処理済み・Close	kentem-re-hiramatsu
		(FE)	【日報】データの保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/530			0.5	3.5	2	5	処理済み・Close	kentem-re-hiramatsu
		(FE)	施工日のラベルを表示	https://github.com/ks-kentem/cloud-pm/issues/507			0.5	3.5	2	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	指示日を実装	https://github.com/ks-kentem/cloud-pm/issues/508			1	7	3	4	処理済み・Close	kentem-re-hiramatsu
